sort_key,root_name,root_path,unit_name,unit_path,unit_type,current_owner,current_role,first_known_source,evidence_type,remote_or_upstream,copy_or_fork_of,duplication_status,family_v2,target_repo,target_worktree,confidence,notes
0001,"codex-master-folder","/Users/paulcooper/Documents/Codex Master Folder","umbrella-runtime-core","/Users/paulcooper/Documents/Codex Master Folder/src/lib.rs","rust-library","Codex Master Folder","runtime library crate","README names tested Rust runtime library","Cargo manifest; README; source entrypoint","git@github.com:jedisherpa/Metacanon_AI_Full_Stack.git","self","unique","umbrella-runtime-installer","Codex Master Folder","umbrella-runtime",0.98,"Primary library surface for the umbrella product"
0002,"codex-master-folder","/Users/paulcooper/Documents/Codex Master Folder","umbrella-provider-adapters","/Users/paulcooper/Documents/Codex Master Folder/src/providers","provider-pack","Codex Master Folder","LLM provider adapter pack","providers subtree under runtime crate","source structure; Cargo manifest","git@github.com:jedisherpa/Metacanon_AI_Full_Stack.git","self","unique","umbrella-runtime-installer","Codex Master Folder","umbrella-runtime",0.95,"Anthropic Grok Moonshot Morpheus Ollama OpenAI and local providers"
0003,"codex-master-folder","/Users/paulcooper/Documents/Codex Master Folder","umbrella-sub-sphere-and-torus-runtime","/Users/paulcooper/Documents/Codex Master Folder/src/sub_sphere_torus.rs","runtime-subsystem","Codex Master Folder","torus and sub-sphere orchestration","source files torus.rs sub_sphere_torus.rs sub_sphere_manager.rs task_sub_sphere.rs","source structure; README","git@github.com:jedisherpa/Metacanon_AI_Full_Stack.git","self","unique","umbrella-runtime-installer","Codex Master Folder","umbrella-runtime",0.96,"Real code line that should not be treated as workspace residue"
0004,"codex-master-folder","/Users/paulcooper/Documents/Codex Master Folder","umbrella-installer-cli","/Users/paulcooper/Documents/Codex Master Folder/src/main.rs","cli-entrypoint","Codex Master Folder","installer and runtime CLI","README quick start calls src/main.rs directly","README; Cargo manifest; source entrypoint","git@github.com:jedisherpa/Metacanon_AI_Full_Stack.git","self","unique","umbrella-runtime-installer","Codex Master Folder","umbrella-runtime",0.98,"Primary executable entrypoint"
0005,"codex-master-folder","/Users/paulcooper/Documents/Codex Master Folder","umbrella-installer-command-surface","/Users/paulcooper/Documents/Codex Master Folder/src/ui.rs","runtime-command-surface","Codex Master Folder","installer UI command contract","installer-ui README maps screens to src/ui.rs","README cross reference; source entrypoint","git@github.com:jedisherpa/Metacanon_AI_Full_Stack.git","self","unique","umbrella-runtime-installer","Codex Master Folder","umbrella-runtime",0.98,"Authoritative umbrella command surface consumed by the separate PrismAI installer UI root"
0006,"codex-master-folder","/Users/paulcooper/Documents/Codex Master Folder","umbrella-ffi-bridge","/Users/paulcooper/Documents/Codex Master Folder/src/ffi_bridge.rs","ffi-layer","Codex Master Folder","Rust side native bridge","ffi-node JS layer expects metacanon_ai.node exports from this line","source structure; cross-root dependency","git@github.com:jedisherpa/Metacanon_AI_Full_Stack.git","self","unique","umbrella-runtime-installer","Codex Master Folder","umbrella-runtime",0.95,"Pairs with ffi-node root"
0007,"codex-master-folder","/Users/paulcooper/Documents/Codex Master Folder","umbrella-install-script","/Users/paulcooper/Documents/Codex Master Folder/scripts/install_metacanon.sh","install-script","Codex Master Folder","one-command installer","README quick start calls scripts/install_metacanon.sh","README; source entrypoint","git@github.com:jedisherpa/Metacanon_AI_Full_Stack.git","self","unique","umbrella-runtime-installer","Codex Master Folder","umbrella-runtime",0.97,"Operational install surface"
0100,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-frontend-core","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/frontend","frontend-root","anything-llm","core web frontend","AnythingLLM upstream frontend plus local overlays","git remote; package manifest; README","https://github.com/Mintplex-Labs/anything-llm.git","Mintplex AnythingLLM frontend","forked-core","prismai-anythingllm","anything-llm","prismai-frontend",0.97,"Canonical frontend seat for PrismAI fork"
0101,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-prism-metacanon-overlay-cluster","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/frontend/src","overlay-layer","anything-llm","Prism and Metacanon overlay cluster","frontend/src contains MetacanonAI PrismHero PrismDodecahedron and related components","duplicate-file lineage; source structure","https://github.com/Mintplex-Labs/anything-llm.git","historical overlap with prism-feralpharaoh/src only","duplicated-lineage","prismai-anythingllm","anything-llm","prismai-overlay",0.98,"Treat as fully separate from prism-feralpharaoh for current ownership even where files overlap"
0102,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-server","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/server","server-root","anything-llm","core backend","AnythingLLM upstream server plus local modifications","git remote; README; package manifests","https://github.com/Mintplex-Labs/anything-llm.git","Mintplex AnythingLLM server","forked-core","prismai-anythingllm","anything-llm","prismai-server",0.97,"Also supplies MCP SDK dependency for houdini-codex-mcp"
0103,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-collector","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/collector","collector-root","anything-llm","content collector","Collector subtree present as standalone product unit","git remote; package structure","https://github.com/Mintplex-Labs/anything-llm.git","Mintplex AnythingLLM collector","forked-core","prismai-anythingllm","anything-llm","prismai-collector",0.94,"Separate ingestion unit"
0104,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-desktop-tauri","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/desktop-tauri","desktop-app","anything-llm","desktop PrismAI surface","Desktop Tauri subtree recorded in repo","git history; source structure","https://github.com/Mintplex-Labs/anything-llm.git","PrismAI desktop fork","forked-core","prismai-anythingllm","anything-llm","prismai-desktop",0.93,"Large independent surface"
0105,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-browser-extension","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/browser-extension","browser-extension","anything-llm","browser extension surface","Top-level browser-extension subtree present","source structure; upstream repo layout","https://github.com/Mintplex-Labs/anything-llm.git","Mintplex AnythingLLM browser extension","forked-core","prismai-anythingllm","anything-llm","prismai-extension",0.88,"Separate surface but not the current priority line"
0106,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-embed-surface","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/embed","embed-surface","anything-llm","embed product surface","Top-level embed subtree present","source structure; upstream repo layout","https://github.com/Mintplex-Labs/anything-llm.git","Mintplex AnythingLLM embed line","forked-core","prismai-anythingllm","anything-llm","prismai-embed",0.86,"Standalone embed surface"
0107,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-mobile-prismai-app","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/mobile-ios/PrismAI","mobile-app","anything-llm","PrismAI mobile app","mobile-ios/PrismAI subtree present","source structure; repo naming","https://github.com/Mintplex-Labs/anything-llm.git","local PrismAI product extension","unique-descendant","prismai-anythingllm","anything-llm","prismai-mobile",0.90,"Mobile line distinct from upstream naming"
0108,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-metacanon-data-pack","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/data/metacanon","docs-data-pack","anything-llm","Metacanon governance and imported data","data/metacanon subtree present","source structure; repo-specific docs","https://github.com/Mintplex-Labs/anything-llm.git","local PrismAI overlay support pack","unique-descendant","prismai-anythingllm","anything-llm","prismai-overlay",0.92,"Data and governance pack supporting overlay work"
0109,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","anything-cloud-deployments","/Users/paulcooper/Documents/Codex Master Folder/anything-llm/cloud-deployments","deploy-pack","anything-llm","infra and cloud deployment pack","cloud-deployments subtree present","source structure; upstream repo layout","https://github.com/Mintplex-Labs/anything-llm.git","Mintplex AnythingLLM deploy pack","forked-core","prismai-anythingllm","anything-llm","prismai-ops",0.88,"Operational unit; separate from feature work"
0200,"castle-member-anna","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna","anna-world-feature","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/client/src/features/anna","feature-root","castle-member-anna","Anna peer realm implementation and shared root seat","Only feature in Anna baseline","git remote; package manifest; source structure","https://github.com/jedisherpa/so-ive-been-busy.git","Anna Phoenix V1 shared implementation root","canonical-baseline","castle-members","castle-member-anna","mainline",0.98,"Peer realm implementation seat and shared root for Diana and Liana"
0201,"castle-member-anna","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna","anna-sections-shell","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/client/src/components/sections","component-shell","castle-member-anna","shared editorial shell","Sections component subtree present in canonical seat","source structure; local lineage","https://github.com/jedisherpa/so-ive-been-busy.git","castle-member shell lineage","shared-lineage","castle-members","castle-member-anna","mainline",0.90,"Shared shell ancestor for peer realm member sites"
0202,"castle-member-anna","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna","anna-server-runtime","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/server","server-root","castle-member-anna","member backend","Server subtree present in canonical seat","package manifest; source structure","https://github.com/jedisherpa/so-ive-been-busy.git","Anna Phoenix V1","canonical-baseline","castle-members","castle-member-anna","mainline",0.92,"Backend pair for castle member shell"
0203,"castle-member-anna","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna","anna-shared-runtime","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/shared","shared-runtime","castle-member-anna","shared member runtime","Shared subtree present in canonical seat","package manifest; source structure","https://github.com/jedisherpa/so-ive-been-busy.git","Anna Phoenix V1","canonical-baseline","castle-members","castle-member-anna","mainline",0.92,"Shared runtime line for member sites"
0204,"castle-member-anna","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna","anna-source-pack","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/source/anna","source-pack","castle-member-anna","Anna source assets and editorial pack","Source tree contains portraits posts profiles and story docs","source structure","https://github.com/jedisherpa/so-ive-been-busy.git","Anna Phoenix V1","canonical-baseline","castle-members","castle-member-anna","content",0.96,"Only concrete member source pack that is clean"
0210,"castle-member-diana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana","diana-world-feature","/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana/client/src/features/diana","feature-root","castle-member-diana","Diana peer realm implementation","Umbrella git history says Diana realm added 2026-03-19; local repo extraction completed 2026-03-22","umbrella git history; local git repo; package manifest; source structure","none","Anna Phoenix V1 shared implementation root","peer-realm-sharing-root-lineage","castle-members","castle-member-diana","mainline",0.97,"Peer realm to Anna; Anna carryover removed"
0211,"castle-member-diana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana","diana-server-runtime","/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana/server","server-root","castle-member-diana","Diana peer realm backend","Server subtree present in standalone Diana repo","local git repo; package manifest","none","Anna Phoenix V1 shared implementation root","peer-realm-sharing-root-lineage","castle-members","castle-member-diana","mainline",0.92,"Peer realm backend extracted from umbrella ownership"
0212,"castle-member-diana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana","diana-shared-runtime","/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana/shared","shared-runtime","castle-member-diana","Diana peer realm shared runtime","Shared subtree present in standalone Diana repo","local git repo; package manifest","none","Anna Phoenix V1 shared implementation root","peer-realm-sharing-root-lineage","castle-members","castle-member-diana","mainline",0.92,"Peer realm runtime extracted from umbrella ownership"
0220,"castle-member-liana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana","liana-world-feature","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana/client/src/features/liana","feature-root","castle-member-liana","Liana peer realm implementation","Umbrella git history says Liana realm added 2026-03-20; local repo extraction completed 2026-03-22","umbrella git history; local git repo; package manifest; source structure","none","Anna Phoenix V1 shared implementation root","peer-realm-sharing-root-lineage","castle-members","castle-member-liana","mainline",0.97,"Peer realm to Anna; Anna carryover removed"
0221,"castle-member-liana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana","liana-server-runtime","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana/server","server-root","castle-member-liana","Liana peer realm backend","Server subtree present in standalone Liana repo","local git repo; package manifest","none","Anna Phoenix V1 shared implementation root","peer-realm-sharing-root-lineage","castle-members","castle-member-liana","mainline",0.92,"Peer realm backend extracted from umbrella ownership"
0222,"castle-member-liana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana","liana-shared-runtime","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana/shared","shared-runtime","castle-member-liana","Liana peer realm shared runtime","Shared subtree present in standalone Liana repo","local git repo; package manifest","none","Anna Phoenix V1 shared implementation root","peer-realm-sharing-root-lineage","castle-members","castle-member-liana","mainline",0.92,"Peer realm runtime extracted from umbrella ownership"
0224,"castle-member-liana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana","liana-reference-pack","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana/reference","reference-pack","castle-member-liana","Liana reference material","Reference subtree present and separate from active feature and runtime layers","source structure","none","local peer realm support material","unique-peer-realm-support","castle-members","castle-member-liana","reference",0.88,"Reference pack retained after source cleanup"
0300,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","prism-main-product-shell","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/Main","product-shell","prism-feralpharaoh","main Prism product shell","Top-level Main page subtree present in dedicated repo","git remote; package manifest; source structure","https://github.com/jedisherpa/prism-feralpharaoh.git","AnythingLLM frontend lineage","independent-product","webgl","prism-feralpharaoh","product",0.91,"Independent product shell with normalized package identity; historical lineage remains provenance only"
0301,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","prism-metacanon-control-center","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/MetacanonAI","control-surface","prism-feralpharaoh","Metacanon control-center surface","Verified duplicate lineage with anything-llm/frontend/src/pages/MetacanonAI; no direct duplicate-file overlap found with sovereign-metaverse/apps/metacanonai in this pass","duplicate-file lineage; cross-root comparison","https://github.com/jedisherpa/prism-feralpharaoh.git","historical overlap with anything-llm only","duplicate-local-copy","webgl","prism-feralpharaoh","metacanon-surface",0.98,"Manage separately from anything-llm and separately from sovereign-metaverse; at most this served as basic WebGL basis for metacanonai.com"
0302,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","prism-metacanon-lab","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/MetacanonAILab","lab","prism-feralpharaoh","Metacanon lab surface","Verified duplicate lineage with anything-llm/frontend/src/pages/MetacanonAILab","duplicate-file lineage; source structure","https://github.com/jedisherpa/prism-feralpharaoh.git","historical overlap with anything-llm only","duplicate-local-copy","webgl","prism-feralpharaoh","metacanon-lab",0.98,"Manage separately from anything-llm and separately from sovereign-metaverse metacanonai"
0303,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","prism-hero-lab","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/PrismHero","lab","prism-feralpharaoh","Prism Hero WebGL lab","Verified duplicate lineage with anything-llm/frontend/src/pages/PrismHero; no direct duplicate-file overlap found with sovereign-metaverse/apps/metacanonai in this pass","duplicate-file lineage; cross-root comparison","https://github.com/jedisherpa/prism-feralpharaoh.git","historical overlap with anything-llm only","duplicate-local-copy","webgl","prism-feralpharaoh","prism-hero",0.98,"Manage separately from anything-llm and separately from sovereign-metaverse; relevant to metacanonai only as basic WebGL basis if used at all"
