sort_key,root_name,root_path,root_kind,worktree_home,lane_name,lane_role,lane_status,repo_backed,write_scope,notes
0001,codex-master-folder,/Users/paulcooper/Documents/Codex Master Folder,umbrella-repo,/Users/paulcooper/Documents/Codex Master Folder,root-anchor,no-product-worktrees,frozen,true,runtime-installer-only,Do not use umbrella root as product worktree home
0101,sovereign-metaverse,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sovereign-metaverse,metacanonai-main,main integration lane,scaffolded-empty,true,metacanonai broad changes,Primary integration lane for metacanonai
0102,sovereign-metaverse,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sovereign-metaverse,metacanonai-public,public site lane,scaffolded-empty,true,public fortress shell and page surfaces,Use for 3002-facing work
0103,sovereign-metaverse,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sovereign-metaverse,metacanonai-cockpit,cockpit and workbench lane,scaffolded-empty,true,3011 3013 3014 workbench and audio runtime,Use for cockpit and scene tooling
0104,sovereign-metaverse,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sovereign-metaverse,metacanonai-subworlds,subworld runtime lane,scaffolded-empty,true,subworlds and scene runtime,Use for runtime-only experiments
0201,anything-llm,/Users/paulcooper/Documents/Codex Master Folder/anything-llm,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm,prismai-core,core integration lane,scaffolded-empty,true,repo-wide PrismAI changes,Primary integration lane for AnythingLLM fork
0202,anything-llm,/Users/paulcooper/Documents/Codex Master Folder/anything-llm,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm,prismai-frontend,frontend lane,scaffolded-empty,true,frontend and embed surfaces,Use for UI-only PrismAI work
0203,anything-llm,/Users/paulcooper/Documents/Codex Master Folder/anything-llm,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm,prismai-server,server lane,scaffolded-empty,true,server and collector surfaces,Use for backend changes
0204,anything-llm,/Users/paulcooper/Documents/Codex Master Folder/anything-llm,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm,prismai-desktop,desktop lane,scaffolded-empty,true,desktop-tauri surface,Use for desktop-specific work
0205,anything-llm,/Users/paulcooper/Documents/Codex Master Folder/anything-llm,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm,prismai-mobile,mobile lane,scaffolded-empty,true,mobile-ios PrismAI app,Use for mobile-specific work
0206,anything-llm,/Users/paulcooper/Documents/Codex Master Folder/anything-llm,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm,prismai-overlay,overlay lane,scaffolded-empty,true,frontend overlay cluster only,Keep separate from prism-feralpharaoh ownership
0301,prism-feralpharaoh,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/prism-feralpharaoh,mainline,repo integration lane,scaffolded-empty,true,repo-wide Prism product changes,Separate product from anything-llm
0302,prism-feralpharaoh,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/prism-feralpharaoh,product,product shell lane,scaffolded-empty,true,main product shell and routes,Use for non-lab surfaces
0303,prism-feralpharaoh,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/prism-feralpharaoh,prism-hero,hero lab lane,scaffolded-empty,true,PrismHero lab only,Use for hero scene work
0304,prism-feralpharaoh,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/prism-feralpharaoh,prism-dodeca,dodeca music lab lane,scaffolded-empty,true,PrismDodecahedron music lab only,Use for breakup and music work
0305,prism-feralpharaoh,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/prism-feralpharaoh,overlay,overlay component lane,scaffolded-empty,true,Metacanon overlay components only,Historical overlap with AnythingLLM does not change ownership
0401,castle-member-anna,/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/castle-member-anna,mainline,shared implementation root lane,scaffolded-empty,true,Anna Phoenix V1 shared implementation root,Canonical castle-member implementation lane
0411,castle-member-diana,/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/castle-member-diana,mainline,peer realm lane,scaffolded-empty,true,diana peer realm app,Standalone local repo; umbrella detachment staged
0421,castle-member-liana,/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/castle-member-liana,mainline,peer realm lane,scaffolded-empty,true,liana peer realm app,Standalone local repo; umbrella detachment staged
0501,sphere-thread-engine,/Users/paulcooper/Documents/Codex Master Folder/sphere-thread-engine,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sphere-thread-engine,mainline,repo integration lane,materialized,true,repo-wide changes,Standalone remote corrected and mainline worktree materialized
0502,sphere-thread-engine,/Users/paulcooper/Documents/Codex Master Folder/sphere-thread-engine,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sphere-thread-engine,engine,engine lane,scaffolded-empty,true,engine-only changes,Use for lower-level systems work
0503,sphere-thread-engine,/Users/paulcooper/Documents/Codex Master Folder/sphere-thread-engine,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sphere-thread-engine,tma,TMA lane,scaffolded-empty,true,tma surfaces,Use for TMA-specific work
0601,sovereign-jewel-next,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-next,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sovereign-jewel-next,mainline,public shell and viewer lane,scaffolded-empty,true,repo-wide jewel shell viewer and engine work,Standalone local repo initialized; final umbrella detachment pending
0602,metacanon-ddos,/Users/paulcooper/Documents/Codex Master Folder/metacanon-ddos,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/metacanon-ddos,auxiliary,auxiliary declaration and verification lane,scaffolded-empty,true,auxiliary DDOS-related shell verification and duplicate lineage work,Canonical live site remains remote main; local extraction is auxiliary only
0603,sovereign-jewel-web,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-web,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/sovereign-jewel-web,mainline,static microsite lane,materialized,true,repo-backed small program,Standalone remote pushed and mainline worktree materialized
0604,council-engine,/Users/paulcooper/Documents/Codex Master Folder/council-engine,non-repo-root,/Users/paulcooper/Documents/Codex Master Folder/worktrees/council-engine,future-mainline,council engine lane,blocked-until-repo-promotion,false,blocked,Blocked until ownership normalization and repo promotion
0605,lensforge-app,/Users/paulcooper/Documents/Codex Master Folder/lensforge-app,non-repo-root,/Users/paulcooper/Documents/Codex Master Folder/worktrees/lensforge-app,future-mainline,lensforge lane,blocked-until-repo-promotion,false,blocked,Blocked until ownership normalization and repo promotion
0606,metacanon-code-api,/Users/paulcooper/Documents/Codex Master Folder/metacanon-code-api,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/metacanon-code-api,mainline,code api lane,materialized,true,repo-backed small program,Standalone remote pushed and mainline worktree materialized
0607,planes-of-existence-viewer,/Users/paulcooper/Documents/Codex Master Folder/planes-of-existence-viewer,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/planes-of-existence-viewer,mainline,viewer lane,materialized,true,repo-backed small program,Standalone remote pushed and mainline worktree materialized
0608,ffi-node,/Users/paulcooper/Documents/Codex Master Folder/ffi-node,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/ffi-node,mainline,bridge lane,materialized,true,repo-backed small program,Standalone remote pushed and mainline worktree materialized
0609,image-catalog-viewer,/Users/paulcooper/Documents/Codex Master Folder/image-catalog-viewer,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/image-catalog-viewer,mainline,image catalog lane,materialized,true,repo-backed small program,Standalone remote pushed and mainline worktree materialized
0610,houdini-codex-mcp,/Users/paulcooper/Documents/Codex Master Folder/houdini-codex-mcp,git-repo,/Users/paulcooper/Documents/Codex Master Folder/worktrees/houdini-codex-mcp,mainline,houdini bridge lane,materialized,true,repo-backed small program,Standalone remote pushed and mainline worktree materialized
