sort_key,root_name,root_path,root_type,detection_signals,current_owner,current_role,first_known_source,evidence_type,remote_or_upstream,copy_or_fork_of,duplication_status,family_v2,target_repo,target_worktree,confidence,notes
0001,"codex-master-folder","/Users/paulcooper/Documents/Codex Master Folder","git-repo+runtimeroot",".git;Cargo.toml;README.md","Codex Master Folder","umbrella runtime and installer anchor","2026-03-20 local git commit 9b8eeac; README names MetaCanon AI Runtime + Installer","local git history; git remote; Cargo manifest; README","git@github.com:jedisherpa/Metacanon_AI_Full_Stack.git","self","shared-container-with-owned-runtime","umbrella-runtime-installer","Codex Master Folder","root-anchor",0.98,"Real code line; not the default cwd for product work"
0002,"anything-llm","/Users/paulcooper/Documents/Codex Master Folder/anything-llm","git-repo",".git;package.json;README.md","anything-llm","PrismAI core product fork","2026-03-15 local git commit 8ca77ecb; README is upstream AnythingLLM readme","local git history; git remote; package manifest; README","https://github.com/Mintplex-Labs/anything-llm.git","Mintplex AnythingLLM","fork-with-product-overlay","prismai-anythingllm","anything-llm","prismai-core",0.97,"Manage as a separate product from prism-feralpharaoh even where historical file overlap exists"
0003,"castle-member-anna","/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna","git-repo",".git;package.json","castle-member-anna","Anna Phoenix V1 peer realm and shared implementation root","2026-03-20 local git commit 0f613b8; package name castle-member-anna","local git history; git remote; package manifest","https://github.com/jedisherpa/so-ive-been-busy.git","Anna Phoenix V1 shared implementation root","canonical-local-baseline","castle-members","castle-member-anna","mainline",0.94,"Concrete castle-member baseline seat and shared root for the peer realm family"
0004,"castle-member-diana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana","git-repo",".git;package.json; prior umbrella path history","castle-member-diana","Diana peer realm sharing Anna-root lineage","2026-03-19 umbrella git commit 61ea0c4 feat add Diana realm with dev hero crop lab; local git repo initialized 2026-03-22","umbrella git history; local git repo; package manifest; local structure","none","Anna Phoenix V1 shared implementation root","peer-realm-sharing-root-lineage","castle-members","castle-member-diana","mainline",0.97,"Peer to Anna; Anna carryover removed; umbrella detachment is staged locally"
0005,"castle-member-liana","/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana","git-repo",".git;package.json; prior umbrella path history","castle-member-liana","Liana peer realm sharing Anna-root lineage","2026-03-20 umbrella git commit fe8b945 Add castle-member-liana realm site; local git repo initialized 2026-03-22","umbrella git history; local git repo; package manifest; local structure","none","Anna Phoenix V1 shared implementation root","peer-realm-sharing-root-lineage","castle-members","castle-member-liana","mainline",0.97,"Peer to Anna; Anna carryover removed; umbrella detachment is staged locally"
0006,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","git-repo",".git;package.json","prism-feralpharaoh","Independent Prism product with Metacanon surfaces","2026-03-15 local git commit c5ce4ef; package identity normalized to prism-feralpharaoh on 2026-03-22","local git history; git remote; package manifest; duplicate-file lineage","https://github.com/jedisherpa/prism-feralpharaoh.git","historical frontend duplication only; managed as separate product","independent-product","webgl","prism-feralpharaoh","mainline",0.91,"Completely separate from anything-llm and sovereign-metaverse for current ownership; any relation to metacanonai is limited to basic WebGL basis only"
0007,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","git-repo+monorepo",".git;package.json;pnpm-workspace.yaml;README.md","sovereign-metaverse","Canonical metaverse monorepo","2026-03-21 local git commit 71d1ef5; README names sovereign-metaverse monorepo","local git history; git remote; pnpm workspace; README","git@github.com:jedisherpa/sovereign-metaverse.git","new monorepo built from implementation plan and castle-member patterns","canonical-product-root","webgl","sovereign-metaverse","metaverse-anchor",0.98,"Contains canonical Metacanon app plus other realms and shared packages; any relation to prism-feralpharaoh is limited to basic WebGL basis used in apps/metacanonai only"
0008,"sphere-thread-engine","/Users/paulcooper/Documents/Codex Master Folder/sphere-thread-engine","git-repo",".git;package.json;README.md","sphere-thread-engine","Council or Sphere Thread product repo","2026-03-12 local git commit 22b12a3; README names Council Engine Synchronous v2","local git history; git remote; package manifest; README","git@github.com:jedisherpa/sphere-thread-engine.git","council-engine family lineage","overlapping-family-member","council-lensforge-sphere","sphere-thread-engine","mainline",0.84,"Only member of the trio with its own git history; standalone remote corrected and current git-backed canonical active engine seat is engine/"
0009,"sovereign-jewel-next","/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-next","git-repo","package.json; docs; app dir; blender; scripts; .git","sovereign-jewel-next","Sovereign Jewel public shell plus geometry labs","2026-03-22 local git commits 359ea3a and a37731e; docs/sovereign-journey-master-plan.md calls it the sovereign-jewel-next prototype for an Igloo-class immersive experience","local git history; docs; package manifest; source structure","none","local peer root for metacanon-ddos duplicate lineage","independent-root-with-shared-lineage","webgl","sovereign-jewel-next","mainline",0.96,"Standalone local repo initialized; final umbrella detachment still pending"
0010,"metacanon-ddos","/Users/paulcooper/Documents/Codex Master Folder/metacanon-ddos","git-repo","package.json; docs; app/api; prisma; .git","metacanon-ddos","DDOS-related auxiliary declaration and verification line","2026-03-22 local git commits 7a1b86c through c8f8ecf; remote main already existed with live site history; package identity corrected to metacanon-ddos","local git history; existing remote history; package manifest; duplicated docs; source structure; duplicate-file lineage","git@github.com:jedisherpa/metacanon-ddos.git","sovereign-jewel-next duplicate lineage","auxiliary-related-root-with-duplicate-lineage","webgl","metacanon-ddos","auxiliary",0.99,"Standalone local auxiliary repo initialized; canonical live site remains remote main"
