# key	label	path	purpose
prismai-core	PrismAI Core	/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm/prismai-core	Local-only PrismAI core product lane
prismai-frontend	PrismAI Frontend	/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm/prismai-frontend	Local-only frontend and embed UI lane
prismai-server	PrismAI Server	/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm/prismai-server	Local-only server and collector lane
prismai-desktop	PrismAI Desktop	/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm/prismai-desktop	Local-only desktop-tauri lane
prismai-mobile	PrismAI Mobile	/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm/prismai-mobile	Local-only mobile lane
prismai-overlay	PrismAI Overlay	/Users/paulcooper/Documents/Codex Master Folder/worktrees/anything-llm/prismai-overlay	Local-only PrismAI overlay lane
installer-ui	Installer UI	/Users/paulcooper/Documents/Codex Master Folder/worktrees/installer-ui/mainline	Local-only PrismAI installer shell
sphere-mainline	Sphere Thread Engine Mainline	/Users/paulcooper/Documents/Codex Master Folder/worktrees/sphere-thread-engine/mainline	Local-only engine family mainline
sphere-engine	Sphere Thread Engine Engine	/Users/paulcooper/Documents/Codex Master Folder/worktrees/sphere-thread-engine/engine	Local-only engine implementation lane
sphere-tma	Sphere Thread Engine TMA	/Users/paulcooper/Documents/Codex Master Folder/worktrees/sphere-thread-engine/tma	Local-only TMA lane
council-engine	Council Engine	/Users/paulcooper/Documents/Codex Master Folder/worktrees/council-engine/mainline	Local-only council comparison root
lensforge	LensForge App	/Users/paulcooper/Documents/Codex Master Folder/worktrees/lensforge-app/mainline	Local-only LensForge active root
metacanon-ddos	Metacanon DDOS Auxiliary	/Users/paulcooper/Documents/Codex Master Folder/worktrees/metacanon-ddos/auxiliary	Local-only auxiliary DDOS line
sovereign-jewel-web	Sovereign Jewel Web	/Users/paulcooper/Documents/Codex Master Folder/worktrees/sovereign-jewel-web/mainline	Local-only static microsite
metacanon-code-api	Metacanon Code API	/Users/paulcooper/Documents/Codex Master Folder/worktrees/metacanon-code-api/mainline	Local-only code API service
planes-viewer	Planes Of Existence Viewer	/Users/paulcooper/Documents/Codex Master Folder/worktrees/planes-of-existence-viewer/mainline	Local-only viewer project
ffi-node	FFI Node	/Users/paulcooper/Documents/Codex Master Folder/worktrees/ffi-node/mainline	Local-only native bridge
image-catalog	Image Catalog Viewer	/Users/paulcooper/Documents/Codex Master Folder/worktrees/image-catalog-viewer/mainline	Local-only image catalog viewer
houdini-mcp	Houdini Codex MCP	/Users/paulcooper/Documents/Codex Master Folder/worktrees/houdini-codex-mcp/mainline	Local-only Houdini MCP bridge
