sort_key,family,unit_name,root_path,unit_type,current_owner_repo,runtime_role,duplication_status,canonical_upstream_lineage,contamination_status,target_destination_repo,target_worktree,status,notes
0000,meta,superseded-notice,/Users/paulcooper/Documents/Codex Master Folder/WORKSPACE_MASTER_INVENTORY_2026-03-22.csv,documentation,workspace-docs,historical-first-pass,unique,WORKSPACE_SOURCE_OF_TRUTH.md,clean,WORKSPACE_SOURCE_OF_TRUTH.md,appendix,superseded,Superseded by WORKSPACE_SOURCE_OF_TRUTH.md; still useful as first-pass material; not authoritative for new cleanup decisions
0001,umbrella-runtime,umbrella-repo,/Users/paulcooper/Documents/Codex Master Folder,repo,Codex Master Folder,runtime-installer-anchor,unique,self,clean,Codex Master Folder,root-anchor,active,Do not use as default cwd for product work
0002,umbrella-runtime,umbrella-src,/Users/paulcooper/Documents/Codex Master Folder/src,engine,Codex Master Folder,runtime-source,unique,self,clean,Codex Master Folder,umbrella-runtime,active,Umbrella-owned code
0003,umbrella-runtime,umbrella-tests,/Users/paulcooper/Documents/Codex Master Folder/tests,test-suite,Codex Master Folder,runtime-validation,unique,self,clean,Codex Master Folder,umbrella-runtime,active,Umbrella-owned tests
0004,umbrella-runtime,umbrella-scripts,/Users/paulcooper/Documents/Codex Master Folder/scripts,scripts,Codex Master Folder,workspace-runtime-helpers,unique,self,clean,Codex Master Folder,umbrella-runtime,active,Umbrella-owned helper scripts
0005,umbrella-runtime,installer-ui-root,/Users/paulcooper/Documents/Codex Master Folder/installer-ui,app-root,Codex Master Folder,runtime-installer-ui,unique,umbrella-runtime-family,pending-review,Codex Master Folder,umbrella-installer-ui,active,Keep under umbrella until explicit split
0006,umbrella-runtime,installer-ui-desktop,/Users/paulcooper/Documents/Codex Master Folder/installer-ui/desktop,desktop-app,Codex Master Folder,installer-desktop-surface,unique,installer-ui-root,clean,Codex Master Folder,umbrella-installer-ui,active,Vite desktop surface
0007,workspace-artifacts,worktrees-root,/Users/paulcooper/Documents/Codex Master Folder/worktrees,workspace-scaffold,none,worktree-home,unique,self,clean,workspace-container,shared,active,One worktree per agent
0008,workspace-artifacts,target-cache,/Users/paulcooper/Documents/Codex Master Folder/target,generated-artifact,Codex Master Folder,rust-build-cache,generated,self,generated,none,none,active,Not a product root
0009,workspace-artifacts,pnpm-store,/Users/paulcooper/Documents/Codex Master Folder/.pnpm-store,generated-artifact,none,dependency-cache,generated,self,generated,none,none,active,Not a product root
